id,final_position,steps
0,24,++---+-+++-+++-++-+-----+-++++-++++--++-++--++-+--+--++++---+--+-+-++------++-+++--++--++---+-+-+-+--+-+++--+---++++++++----+-++--+++++-++-++++-+++--+-+++++-+-----+--++++--+++-+++++++----+-+-+-+-+++++
1,38,++-++----++-++------++-++++-+-++-++-+-+-+++--++-++++-++-----++++--+-++-++-+-++---++-+-+-++----+-+-+++++++-++-++++-++++++--+---+++--+++-++++-+---++--+-+-+-++----+++-++-++++-+++-+++-+-+++--+-+++-++++++-
2,52,++++++++-+--+++++-++-+++++-+++--+++--++++++++-----++-++++++++-+--+-+-+++++-++--+--+-++++-+++-++-+++++--+--+++++++-+-++---+++-+++----+----++-+++-+++--+-+++--+-+-++---++-+-++++++--+++++++-+-+----+-+-+--
3,46,-+++-+-+-+-+--+-++--+++--+-++++-+++++++--+++++-++++++-++++--++--+++++++++--+--+-+-+-+--+-+-----+----++++++-+-++-++++-++-++--+-++++++-++--++--+++++--++--+-+++++++-++--+++-+---+-+---+++-+++-+-++++++----
4,48,+-+--+++-+-+-++-+-++++--++++---+-++-++--+++-++-+++-+-+-+-+-++++++-++-++++--++++-+-+---++++++-----++-++++-++++-+--+++++++++++++----++++++--++-++-+-+-+-------++--++-++++-+--+++--++++++-+-++++-+-+-+++---
5,58,++--+-+++++----+-++--++-+----+-+++++-++++--++--++++++++-++++++++-+++-++-++++-++-+++++++-++-++--++++-++--+++++++--+-++-++-+-++---+-+++-+++++++-+-+-+-++-+--+++-+-++--+-+++-+-++--+--++-+++--+++-++++----+
6,-4,+-+-++--+----+-+---+-+----++--+-+++------+++---+++-+++++-+--+-+--+-+++--+-+-+-+-+-+-++++-++++------++-++-++----++-+-+-+++-+-+------+-+-+--+-+---+-+-+++-++-----+-++++---++-+-+--++++-+++++++-+---+++----
7,36,++--++--++++--+-+-++++-+++--+++-+++-+-++++----++-+---+--++--+++---+-++---+++----+--+---++--+------+-+---+++-+++-+++++-+--++--++-+++-++-+-+++-++-++-++++++-+--+--+++++++-++++++--++--++++++--+++-++-+++++
8,40,+-+-+++--++-----+-+-+-++-++++--+--++---+-+-+++-++--++-+++-+++--++++++-+++-+-++++-+-+----+-++++-+-+-+++++++-++-++-+++++--+++-+-++++--+-++--+++--++++----++--+-++++----++++++-+-++-++-+-+++---++----+++-++
9,42,---++----+-++-+-+----++-+-+-++--++++---++++-+-+++++-+-+--+++++++-++-++-+++--+-++-++-+++-+-+-----+++-+++-+-++--+-+-+------++++++++++-+++-++++++++----++--++++++++++++--+++--+--+---++---++++++-++++-+++-+
10,48,+-+++++----+----++++--+-+++-+++++---+-++-+--+-+-+--++++++-+-+-++++----++-++-+-+++++++-+++--+--+++--+-++-+++-++++++-+--++-+++++-+--+-++-+--+++-+++++---+++++++-++++-++-++-++++-+-+++---+----++++++-+---++
11,46,-+++++-+----++--++-++---++-+++------++++--+++++-++++-+-+-+--+++-+-+-+++-++-++-----++++++--+++++++-+++--+--+++-+++-+--++-+++-+-+++++-+++++--+-+--++--+++-+++-+--+-+++--+-+--+-++-++++--+++++---+++++++++-
12,40,+++-++-+-+++++---++++-++--+-++++--+-++++++---++-+-++-+-+++-+---++-+-++-++++++---+-+----+-++-+-+--+++++-+-+-+---+-------+++++++-+---++++++++-+--++---++-++--+-+-++++-+-++++++---++++++-++-++++++-+++--+--
13,52,-++--+--++-++-++-++-+++++++-+++++++++-+++++++++-+++++++-++-++++--+++++-+--+-+++-+++-+--+--+-++++++++++-+-++-----+-+++-++-+---+-++++-++-++++-++--++----+--+-+++-++-++-+-+++----+---+++--++----++--++-+-++
14,34,-+--++-++--++++-++-+++-++++------+--++++++-+-+---+++-+++-+++++++++++---+++++-+-+--++-+++++-+++-+--+----+---++--+--++--++++++-+++-+--+--+--+++-++--+++------++++-+-+--++++--++--++++-+---+-+++-++-++-++-+
15,40,++-+--+-++--++--++++-+-++++-++-+-+-+++-+-+++---+-++--++-++----++------++++++-+-++++++++-+-+--+-+-+--++++-++-+++++---+++++--+-++--++-+-+++-+--++++-+--+-+--+-++++----+++-+++---++++++--++++-+++++++--+--+
