id,final_position,steps
0,202,++-+++-++-++-+++++++++++++++++++-+-+--++-+++++-++++++--+++-+++++++++++++++++++++++--+-+-+++++++++--++++++++++++++++++++++++++++-++++++++++-+++-+++++-++-+++-+-++++++++++++++++++++++-++++-++++++-+++--+++++++++--+++++++++++++++-++++++++--+--+-++++-++-+-+++++++++-+++++++++++++++++-++-++-++++++--++-+++++
1,210,+++++++++++++++++++--+-+-++---+-+-++++-+++++++++-++--++++++++-+++++-+-++++++++++++++-++++++-+++++++++++++-++++++-+++++++++++++-++-+++++++++-+++--+++++++++++++++-+++++++++++++++++++++++++++++-++++++++++++++++++++++-+-++-+++++++-++++++-++--++-+-++++++++++++++++++-++-++++---++++++++++++++-++-++++-+-+++
2,228,+-+++++++++++++++-+-+-+++-+++-++-+-++-+++++++++++++++-+++-+++++++++++-++++++++++++++++++++++++++++++--+++--++++++--+++++-+++++++++++-++++++++++++++++++-+-+++++-++++++-+++++++++-++++++++++++++++++++-++++++++++-+-+++-+++++++-+++++-+++-++++++++++++++++++++-++++++++++++--++++++++++++++++++++++-+++++++++
3,210,++++++++++-+-+++++-+-+++-+++++++++++--++++++--++++-+++++++++++-++++++++++-++++-++++++++++++--++-++++++++++-++++++-+++++-+++++-++++++--++-++++++-+++++--+++-++++++++++++++++++++++++++++-++-++++-+--++++---+-++++-++++++-++++++++++++++++++++++++++++++++++++++++++-++++-++++++-++-++++++++++++++++-+-++++++-
4,200,++-+++-+++++++-+++++++++++++++++++++++++++++++++-++-++-+++-++++++++-+++++++++++++-+++++++--+-+++++++++++++-+++++-++++++++-+++---++++-+-++-+-++-+++++-+++--++++++++-++++-++++++++-+++-++++-++-+++++++++++++++++++-++++++++++++++++-+++-+++++-++++++-+-+++++++-++-++++-+++++++-+-+-+++++---+++-+++++-++++-++++
5,206,++-+++++++++++-++---++-++++++++++++++++++-++++++-+++-+-+++++++++++-+++++-+-++++++++--+++++++++++-+++++++++++++++-+-++++++++++-+++--++-+---++-++++-++++-+++++++++-+++++-+-+-+++++++++++++-+-+++++---++++++++++-++++++-++++++++++++++++++++++++++++++++++++++++-++++++-++++-++++++++-+++-+-+++++-++++++-++++++
6,198,++++++++++-++-++++++---+++++++++++++++++++++++++-+++---+++-+++++-++++++++-+++++++-+++++++-+++++++-+++++++++++++-++++-++++++++-++++-++++++++++++-++-++--++++++-+-++++--++++++-+++-++++-++++-+-+++++-++++++-++++++++-++--++++++++++-++++++++++++-++++++++++++-+++-++-++++-+---+-++++++++++++++++++-+++-++-+++-
7,202,++--+--++++++-+++++++-+-+++-+++++-++++++++-++++++++++++++++-++++++++++++++++++++++--+++++++-+--++++++++---+++++++-++++++-++--++-+++++-++++++++++++++-++-++--++-+++++++++++++-+-+++-+++++++++++++++-++++++++++++-+++++++++++-+++++++-+++++-+++++++-+-+-+++-++++++++++++-++++-++++++++-++--++++++++++++++-+++-
8,204,+++++--+++-+++++++++++-+++++++-+++++++-+-++++++++++++--++++-+++++++++++++--++++++-++++++-++++++++++++++++++-++++---++++++++-+++++++++++++++++-+-++++++++-++++++-++++-++--+++-++++++-++++++-+++++-+++++++++++++-++-++++++++++++-+++++++-+-++--+++-++-++++-+-++-+-+++++++++-+++-++++---+++++++++++++++++++++++
9,204,+--+++-+-+-++++++-+++++++-+++++-++-+++++-++++++++++++-+-+++++++-++--+++++--+++++++++-+++++++++++++++-++++++++++++-+++++++-++++++++++++++--++++++++++++++-++-++-++-++++--++++-+++-+++++-+++++++++++++++-+++++++++++++--++++++++++++-+-++++-++++++++-+++++-+++++-++-+++++++-+++++-+++++-+-+++-++++++++++++++-+
10,212,+-++++++++++++-++-++++++++++++++++++--+++++++-++++++++-+++-+++-++++++++++-+-++++++-++++++++++++++++++++++-++++++++++++--+-+++++-++--+++-+-++++++++--++++++++++++-++++-++-++++++++++++++-++++++++++++++++-+++++--+++-+++++++-+-++++-+++-+++-+++++++-+++-+++--+++++++++-+++++++++-+++-+++++++++++++++-++++++++
11,224,+-+++++++++++++++-+++-++++-+-++++++++++++++++++++++++++-++++-+++++-+-++++++++++-+++++++--++++++++++++++++++-++-+++++++++++++++++++++++++++++-+++++-++++++++++++-++++++++-++++++++++++++-++++++++++-++++-++++++-+++++-+-++++++++++++-++-+++++++++++++++++++++++++-+--++--+++++++++++++++-+-++-+++++++-+--+++-
12,198,+-++-++++++++++++-+++++++-+-++++++---+++-++++++++++-+-++-++-++++-+++++-+++++++---+-++-+++-++++++++++-+++++-+++++++++++++++-++++-+++++-++-++++++-+--+--++++++++++++++++++-++-+++-+++++-++++++++-++++++--+++++-++-++++++++++-++++++++++++-++++++++++++++++-+++-++++++++++-++++-+-++++-++++++++-++++-++++++++++
13,220,-+++-+-+++++++++++++++++++-++++++-+---+-+-++++++++++++++++++++++++-+++++++++-++++++++++++-+++-++-+++++-++++++++-+++++--+++++-+++-++++++++++-+++++++++-++++++++++++++-+++-+++++-+++++++-+++-++++++++++++++++++++++--++-+++++++++++++++++++++++-+++++-+++++--++++++++++++++++++-+++++-++-+++-++++++++-++++++++
14,214,++-+--++++++-+++++++++++-+++++++++-++++++++++++-++++-+-+++++++++++++++-+++++++-+++++++-+++++++++-++++-+++++-+++++-++-+++++--++++++++++++-+++++++++-+++++++++++++++++++++++-++++++++-+--+-++-+++-++++++++++++---++++++++-+++-+-+++++++-+-+++++--+++++++++-++++++++-++-+++++++++++-+++++++++++++++++++-+++++++
15,204,++-+++++-+++-+++++-++++++-+++++-++++---++--+++++-++++++++++++++++++++++++++++++++-+-+++++++++++++++++++--+-++++-+++++-+++++-+++++++-++-++++++++--+++-++-+++++-+++-+-++++++++++++++++++++++++++++-+++-++----++-++++++++++-++++++-+++--++-+++++++++++-+++++++++-++++++++++++++++++-++-+++++++-++-++++++++++++-
16,206,++-+++-+++++++-++++++-+-++++++++++++++-+-+++++++++++-++++++--++++-+++++++++++-+++--++++++++++-++-+++++++--++++--+++-+++++++++++++++++++++-+-++-+++-+++++++++++++++-++-+++++++++++++++++++++++++++++-++++++++++++++++-++++++--+-+-++---+++++++++++++++++--+-++-+++-+-+++++-+-+++-+++++++-++++++++-+++++++++++
