id,final_position,steps
0,314,+++++-+++++-++++++++++++++++++-+-+++-++++-++-++++++++++++++++++++++++++-+++++-+-+++++++--+++-+-+++++++++++++++++++++++++++++++++++++++--++++++++++++-++-+++++-++++++++-+++++++++-+++++++++--+++++-++++++-++++++-+++-+++++++++++++++-+++++++-+++++++++++++++++-++++-+++++-+++++-++++++-++++++++++++++--+++++-++++++++++++-+++++++++-+++-+++++++-+++-++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++
1,346,++++++++-+++++-++++++++-++-+++++++++++-+++++++++++-+-+++-+++++++++++++++++++++-+++++++++++++++++++++++++-+++++++++++++++++++++++++++++++++++--++++++++++++++++++++++++++++++++++++++++++++++-+++++++++++++++-+++++++++-+++++++++++-++++++++++++++++++-++-+-++++++++++++++++++++++++++++++++-+++++++++++++++-++++++++++++++++++++++++++++++++++-+++++++++++++-++++-+++-++++++++++++++-++++++++++++++++++++++-++++
2,336,++++++-+++++++++++++++++-+++++++++-+++++++++++++++-++++++++++++++++++++++++++-++++++++++++++++++++++++-+++++++++++++++++++-++++++++-++++++++-+++++++++++++-+++-+++++++++++++++++++-++-++++++++++++++-++++++++++-+-+++++++++++++-+++++++++++++++-+-++-++++-+++++++---+++++++++++++++++-+++++++++++++++++++-++++++-++-+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-++++-+++++++++++++++++++++++-++-
3,322,+++++-+++++-++++++++-++++++-+++++++++++++++++++++++++++-++++++++++++-++++-++++++++++++++++++--++++-++++++++++++++++++++++++-++++++-+-+++++-++-++++++++-+++++++++-+++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++-+-++++++++++-+++++++++-++++-+++++++++++++++++++++-++-++++++++++++++++++-++++++++++++++-++-++++++++++--+++++++++-+++++++--+++++++++++-++++-++++-++++++++++-+++++++++-++++-+++++
4,310,-++++++++--+++++++-+-+++++++++++++++++++++++++++--+++++++++++++++-+++++++---++--+-++--+-+++++--+++++++++-++++++++++-+++++++-++++++++++-+-++++++++++++++++++++++++++-+++++++-++++++-+++++++++++++++++++--++++++++++++++-++++++--+++++++++++++-+++++++++++++++++-+++++++++++++++++++++-++++++-+++++++-+++++++++++++-++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++--++-++-+++++++++++++-+++++++-+
5,320,++++++++++-++++++++++-++++++++++++++-++++++++-+++++++++++++++-+++++++++++++++-+++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-++++++++++++++++++++-++++++-+++--+++++-+++++-++++++-++++++++++++-++++++++++++++++-++++++++++++++++++--+++-+++++++++-+++-++++-+-+++++-++++++++-++++++++++++++++++++++++++---+++-++++++++++++++++++++++-++++-+++-+-+++-+++--+++++--+-+++++++++++++++++++++++++
6,322,++++++++++++++++++++++++-+++++++++++-+++++++++++-+++++++++++++++++++-++-++++++++++++++++++++++++++-++++++++++-++-++++++++++++++++++++-+++++++++-+++--++++-+-++++++++++++++++-++++-++++++++-++++-++++++++++-++++++++++++++++++-+++++++-++++++++++-++++++++-++++++++-+++++++++++++++++++++++--+++++++-++++++++++++++++-+++++++-+++++++++-++++++--++++++++-++++++-+++-+++++++-++++++++-+++++++++++++++-++++-+++++++
7,334,+++++-++++++++++++++-++-++++-++-++++++++++++++++++++++++++++++++-+++++++++++++++++-+++++++++--++-+++++++++++++++++++++-+++-+++++++++++++-+++++++++++++-+++++++++++++++++++++-+++-++++++++++++++++++-+++++++++++++++++++++++++-++--++++++++++++-++++++++++++++++++++++++++++++++++++++++++++-+-+-+++-++++++++++++++++-++++++++++++-+++++++++++++-++++++++++++++++++++++++++-++++-+++++++++-+++++++++++++++++-+++-
8,328,++++++++-+-++++-+++-+++++-++++-++-++++-++++-+++++++-++++-++++++++++-+++++++++++++++++--++++++++++++++++--++++++-+++++++++-++++++++++++++++++++++++-++++-+++-+-++++++++++++++++-+++++++++++++++++++++++++++++++++++-++++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++++-+-++++++++-++++-+++++++++-+-++++++++++++-+++++++++++++++++++++++++++++++-+++++-++++++++++++++++++-++++++++-+++++++++++
9,326,+++-++++++-++++++++++++++--++++++++++++++++++-+++++++++++++++++++-+++-+-++++++++-++-++++++++++++++++++-+++++++++++++++++++++++++++++++--++-+++++++++++++-++++++-+-+++++++++++++++++++-+++++++++++++++++++-++++++++-++-+++++++++-++++++++++++++++++++-+++++++++++-+++++++++++-++++++++++++++++-+-+++++++++++++++++++++++++++++++-++++++-++++++++++++++++++-+++-+++++++++++++++++++++--++++++++++-+-+++++++--+++++
10,314,++-+-++++++++++++++++++++++++++-++++++-++-++++++++++++++-+++++++-+-++++++++++-++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-+++++-++++-++++++++++++++-+++++--++++++++++++-++++++++++++++++++++++++-+-++-++++++++-+-++-+-++++++++++++++++++++++++++++++-++++++++++++++++++++++++--+++++++-+++--+++++++++++++++++-++++-+-+++--+++++++-+++++--+++++++-+++++++++++++++++-++++-+-+-+++++
11,304,++-++-++++-+++++++--++-+-++++++++++++++++++++++--+++-+++++-++-++++-++++++++-++++++++-+++-++++++++-++++++++--++-++++++++++++++++-++++++++++++-+++++++++++-+-+++++++++++-++++-++++-+++++++++++++++-+++++++++++++++-+++++++++++++++++++++++++++++++++++++++++++-+-++--++-+++++++--+++++-++++++++++-++++++++++++++++++++++++++++++-++++++++++++++++---+++++++++++-++++++++-+++++++++++++++++++++-++++++-++++++-+++-+
12,326,++++++++++++-++-++++-++++++++++++++++-+-+++++++++-++++++++++++-+++++++++++++++++++-++++++++++++++++++++-+++++++-++++++++++++++++++++++++++++--++++++++-+-++++++++++++++++++++++++++-+++++++++++-+++++++++++++-++++++++++++++++++++++--++++++++++++++++++--+++++++++-++--++++++++++++++++++++-++++-+-++++++++++++++++++++++++++++-++++-+++++-+++-+-++++++++++++++++++-++-++++++++++++++++++-+++-+++-+++++++++++++
13,320,-+++++++++++++++++++++++-+++++++++++++++++++++++++++++---+-+++-+++-+++++-++++++++++++++++++++++++++++++++++++-+++++-+++-+++++++++++++++++-+++++++++++++-++++++-+-+-+++++++++++++-+-+++++++++-++++++++-++++++++++-+++++++++++++++++++++++-+++-+++++++++---++-+++++-+++++++++++++++++++-+++-++++++++-++++++++++-+++-++-+++++-++++++++-+-+++++++++++++++++++++++++++++++++++++-+++++++++++++++++-++++++++++++++++++
14,312,+++++-++++++-++++++++++++++++-+++++++++++++-+-++++++-++-+++-+++++++++++++++++++++++++++++--+++-+++--+--+++++++++++-++++++++++++++++++++++++++-++++++++++++++++++++-++++++++++++++++++++-+++++++--+++++++-++++++++++++-++-+-+-+++++++++++++++++++++++++-+++++++++++++++++-++--+++++++++++++-++++-+++++--+++++++-+-++++++++++-++++++-+++++++-++++++++-++++++++++++++++-+++++-++++++++++++++++++++++++--+++++++++++
15,320,++++++++++++++++-++++++++++++-+++++++++++++++++++-++-++++-+++++++++++++++++++++++++++++++--+++++++++++-++++++++++++++++++-++-+++++++++++++++++++++++++++-+++++-++++++-++++++++-++-++-+++++++++++++++++++++++++++--+++++++++++-++++++++++-++-++-+++++++++++++++-+--++++++-++++++++++++-+-++++++++++++-++++++++++++++++++++++++++++++-+-+-++++++++-+++++++++++++--++++++++++++--+++++-++++-+++++-+++++++++++++++++
16,320,++++-++++++++-++++++++-++++++++++++++++++++++++++++++++++++++++++++++++-++++++++-++++++++++++++++++++++++-+++++-++++++++++++++++++--+-+-+++++++++++++++-++++++-++++++++++--+++++++++++-++++++-++-+-++-+++++++++++++++++++++++-+++-+++++-+++++++++++++++++++++--+++++++-+++++++++++++-+++--++++++++++++++-++++++++++++++++++++-++++++++++++++-++++++++++++++++--+++++++++++--++-+++++++++-++++-+-++++++++++++++++
17,344,++++++++++++++++++++++-+++++++-+++++-++++++++++++-++++++++++++++++++++++++++-+++++---++++++++++++++++++++-+++++-+++++++++-+++++++++++++++++++++++++++-+++++++++++++++++-+-++-+++++++++++++++++++++-++++-++++++++++++++++++++-++++++-++++++-+++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-+-+++++++-+++++++++++++++++++++++-++++++++++++++++++++++-+-++++++++++++-++++
18,326,+-+++-+++++-++++++++++++++++++++++++++++++++-+++++----+++++++++++++++++++++++++++-++++++++++-++++-++++++++++++++++++++-+++++--++++++++++++++--+++-+++++-+++-+++++++-+++++++++++++++-+++++-++++++-+++++++++-+++++++++++-++++++++++++++++++++-++++++-++++++--+++++-++++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++--+++++++++++++++-+++++++++++++++++--++++-++++++++++++++++
19,326,-+++++++++-+++++++++++++-+-+++++++++++++++++++++-+-+++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++--+++++++++++++++-++++++++++++-+++++++++++++++++++-++++++++++++++++++++-++++--+++++-+++++++++++++++++++++++++++++++++++-+++++-+++-+-+-+-+-++-+++++++++++-+++++++++++++++++++++++-++++-+++++++++++++++-++++++++++++++++++--+++++++++-+-+++++-++++-+++++++++++++++++++++-++++++++++++-+++++-+++
20,306,+++++++++++++++++++++++++++++++++++-+++++++++-++--+++++++-+++++++++++++++++-+++++++++++++++++++-++--+++++++-+++++-+++++-+++++++++++++++++++++++++++++++++-++++++-+++++++++-++-++++++-+-+++++++++++++++++-+++-++++++++++++++++++++++++++++-+++++++++++++++++++++-+-+-++++-++++++-++++++++++++--+++-+++-++++++-++-+++++++-+++++++++-+-++--++++++-+++++++++++++-+++-++-++++++++++-++++++++-+++-+-++++++++++-++-++++
21,304,+++++++-+++-+++++++++++++-++--+-++++++++++-+-++-++++-+++++++-+-++-+++++++++-++-++++++-++++++++-++++++++++++-+++++-+++++++++++++++++++++++++++++-+++++++++-++++-++++-++++++++++++++++++++++++++++-++++++-++-++++++++-+--+++++++-+-+++++++++-+++++++++++++++++++-++++++++++++++++++-+++++++++++-++++++++++++++++++++++-++++-+-+++++++++++++++++++++++++++-+++-++-+++++-+-+-++++-+++++++++++++++++++++-+-+++-++++++
22,318,+++-+++++++++-++++++++++++-++-+++++++++++++++++++++++-++-+++++++++-++-++++-++-+++++++++-++++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++-++-++++++++++++++-++++++-+++++++++++++-+++++-++++++++++++++-++++++++++++++++-+-++--+++++-++++++++++++++-++++++-+++++++-+++++++++++-+++++-++++++++++++++++++++-+++++++++++++++++++++++++++-++-+-++++++++++-++++++++++++++++-+++-+++++-+-++++-+++++-+++++++-+
23,322,+++++-++++++-++-++++++++++++++-++++++++++-+++++++-++++++++++-+++++-++++++++++++++--++++++++++++-+++++++++++---+++++-+++++++++++++++++++++++++++++++++-+++++++-++++-+++++++++++++++-++-++-+++++--++++++++++++++++++++++++++-++++++++++++++++++++++++-++++-++++++++-++++++++++++++-+++++++++++-+++++-++++++-+++++-+++-++++-+++++++++++-+++++++++-+++-+++++++++++++++++++++++++-+++++++++++++++++-+++++++++++++++++
24,330,+-+++++++++++++-+++-+++-++++++++++++++-++++-+-+++++++++++-++++++++-+++++++-++++++++++++++++++++++++++++++++++++++++++++-++++++++++++-++++++++++++++++++++-++++++++++++++++-++--++++++++-++++++++-+++++++++++++++++++++++++++-+++++-+++++-++-++++-++++-++++++++++++++++-+++-++++++++++++++-+++++++++-++-+-++++++++++++++++++++++++-++++++-++++-+++++++++++++++++++++++++++++++++++++++-+++++++++++++++-++++++++++
25,324,++++-+++++++++++++++-+++++++-+++++++++++++++++++++++-+++-++++++++++++-++++++++++++++--++-++++++++++++++++++++++++++++++++++++++-+-+++++++-++++++++++-+++-++++++++++++++++++++++++++++++++++++++-++-+-+-++++++-++++++++++-+++++++++++++++++-+++-++-++++++++++-++-++-+++++++++++++++++-++-++++++++++++++++++++++++-+-+-++++-+++++++++++++++--+++-++++++++++++++++++++++++++++++++++++++++++++++-+++++-+++-++++++++
26,334,++++++++++++++++++++++++-+++++-+++++++++++++++-++++-++-+++++++++++++++++++++++++++++++++++++++-+++++-+++++++++-+++++++++++++-+++++++++++++++++++++-++++++-++++++-+++--+++++++++++-+-++++++-+++++++++-++-+++++++++-+++++-+++++++-++++++++++++++++++--++-+++++++++++--++++++++++-++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++-+++++++-+++++++++++++++++++-+++++++++++++++++++++-+++
27,296,+++-++++-++++-++-+-++++++++-+++++++++-+++++-+++++++++-++-+++++-++++++-+-+-++++++-++-+++++++-++++-++++++++-++++-+++++++++++++++-++++++++++++++++++-+++++++--+++++++++++++++-+-++++-++-++++++++++++++-++++++++++++++-+++++-++++++++-++++++++++++++++++++++++++++-++++++++++++++-+--++++-+++++++++++++++++++-++++-++++++++++-+-++++++-+++-++++++++++++-++++++++++-++++-+++-+++-++++++++-+++++++++++++++++++-++--+++
28,302,+++-+++++++++++++++++++++++---++++++++++++++-++++-++-+-++++-+++++++-+-++++++++++-++++++++++++++++-+-++-+++++++++++++++++++++++++++-++--+++-+++-+++++++++++++++-+++-++++-+++++++++++++++++++++++++--++--++++++++-++++++++++++++++++++++++-+++++-+++++++++-+-+-+++++++++++-+++++--++++-++++++++++-++++++++++++-++++++++++++++-+++++-++++++++++-+++++++-++-+++++++-+++-+++++-+++++++++++++++-+++-++++++++++++++++++
29,342,+++++-++++++++++++++-++++++++++++++++++-+++++-+++++++++++++++++++++++++++++++++++++++++++++++++++-+++++++++++++-++-+++++++++++++++++++--+-++++++++++++++++++++-+++++++++++++++++-++++++-+++++++-+++++-+++++++++++++++++++++++++++++-+++++++-+++++++++++++++++++++++-+++++++++++++++++++++++-++++-+++++++++++-++++++++++-+-+++++++++++++++++++++++++++++++++++++++-+++++++++++++++++++-++++++++++-+--+++++++++-++
30,308,++++++++++++++++++++++++-++++++++++++--+++++-++--+-++++++++++++++++++++-++-++++++-+--+++++++++++++++++-+++++++-+++-++++-++++++++++-+++++++-+-+++-++++++-+--++++++++++++++++++++++++++++++++++-+++++-+++++-+++++++++++++++++-+++-+++++++-++++-+++++++++++++++++++++-+++++++++-+++++++++++++++++++++-+++++-+++++++-+++-++++++-+-+++++++++++++++-++++++++++++++++++++++++++++--++++++++++++++++-++++-++++++++-+--++
31,332,++++++++++++-+++++++++++++-+++++++++++++++++++++++++++++-+++++++++-++-++++++++++++++-+++++++++++-+++-+++++++++++++++++++++++++++++-+++++-++++-+++++++++-+++++++++++++++++++++++++-++++++-+++-++++++++++++++++++++-+-++++++++++-+++-+++++-+++++++++++++++++++++++++++++-+-+++-+++++-+-+++-++++++++++++++++++++++++++++-++++++++-++++++++++++++++++++++++++++++++++++++++++++-++++++++--+++++-++-++++++++++++-++++
32,330,++++++-+++--++-+++++-+++++++++++-+++++++++++++++++++++-+++++++++++++++-+++++++++++++++++++++++++++++++++++++++++-++++++++++++++++--+++++++-++++++++++++++++++++++++-+++++++++++-+++++-+-+++--++++++++++++++++++++-+++++-+++-++++++++++++++++++++++++++++++-++-+++-++-++++++++++++++++++++++++++++++++++++++++++++++++++++++--+++++-++++-++++++++++++++++++-+++++++++++++++++++-++++++++++++-+++++++++-+-++++++-+
33,334,+++++++++++++++++++++++++++++-++++++++++++++++++-++++++-+++-+++-+++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++-++++++++-+++++++++++-+++-+++++++-++++++++++++++++++-+++-++++++++++++++++++++-+-++++++++++++++++++++++++++-++++++++++-+++++++++++++++--++++++-++++-++++++++++++++-+++++++-++++-+++++++++++++++-++++++-+++-+++++++++++++++++++++-+--+++++-++++++++++++++++++++++++-+++++++-++++
34,306,++++++++++++-+-+++++++-++++++++++++++++-+++++++++++++++++++++++++++++++-++++++++++++++++--+-+-++-++++++++++-+++++++++++++++++++++-+++++++++-++-+++++++++++-+++-+++++++++++++++++++++++++-+-++++++++-++++-++++-++++---++-++-++-++++++++++++++++++++++++++++++++++++-++-+++++++++++++++++++-++++++++++-++++++-+++++-++++-+++++++-++++-++++++-+++++++++++-+++-+-++++++++-+-++--++++++-++++++++-++++-+++++++++++++++
35,342,+++++-++++-+++++-+++-+++++++++++++++++++++++++++++++++++++++++++++-++++-++++++++++++++++-+++++++++-++++++++++++++-++-+++++++++-++++++++++-+-+++++++++++++++++++++++++-++++++++++-++++++++++++++++++++++++-++++++++++++++++-++++++++++++++++++++++-++-+++++++++++++++++++++++++++++++++++-+++++++++++++++++++++++-++++++++++++++++++++++++-++++++++++++-+-++++-+++-++-+++++++++-++++++++++-++++++++++++++++++++++
36,320,+++++++++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++--+++-++++-+-+++++++++++++++++-++-++++++++++++-++++++-+++-++++-++++++++++++++++-++++++++++-++++++++++++++++++++++++++++++++++++++++-+++++++++++++++++++++-++++++++++-+-++++++++++++++-++++++++-++++++++++++++++---+++++++---++++++++++-+++++++-++-+++-++++++++++++--+++++++-+++++-++-+++++++++-++++++-++++++++++++++++++++-++++++++-+-++++++
37,296,++++++++++-+++++++++++++-++-++++-+++++-++-+++++-++++++++++++++--++++++++-+--++-++++++--++++-+--+++-+++-++++-++-+++-+++-++-++++++-++++-++-+++++++++-+++++++++++++++++-++++++++++-+++++-++-+++-+++++-+++++++++++++++++++++++++++++++++++-+++++++++-++++++-++-+++++-+++++-++++++++++++++-+++++++++++-+++++-+++++++++++++++++++-+++++++++++++++++++-++++++++++++++++++++-+++++++++++-+-+++++-+++++++++++++++-+++-+++
38,326,+-+++++++++++++-++-++-+-++-+++++-++++++--++++++++++++++++++-++++++++++++++++++-+-++++++++++++++++--+++++-++++++-++++++++++++++++++++++++++-++++++++++-+++++-++--++++++++++++-+++++++++++++++++++++++++++++++++++++++++-+++++++++++++++++++++++-++++++++++++++++++++-+-++++++++++++-++++++++++++++-+++++-++-+++--++++++++-+++++++++++++++++++++++++++++++++++++-++++++++++-++++++++++++++++++++-++++-++++++++++++
39,298,+++++++-++++++++-++++-++++++++++-+-+++-++--+++-++-+++++++++++-++-++++++++--+-++++-+++++++++-+++++++++-++++--++++-+++++-+++-+++++--++++++++++++++++++++++++-+++-+++++++++++++++++++++++-+++-++++++++-++++-++++++++++++++++-+++++++++-+++++++++-+++++++-+++++++++++++++-++++-++++++++++++-++++++-++++++++++++++-+++--++++++++++++++++++++-++++-+++++-+++++++++++--+-+++-+++++++++++++++++++++++++++++-++++++-+++++
40,314,+++-++-+--++++++++++++-+++++--++-++++-+++-++++-++++++++++-++++++-+++++++++-+++++++++++++-+++++++++++++-++++++++++++++++++++++++++++++++++++++-++++++++++-++++++++++++++++++-++++-+++++++++++++++++-+++++-++-+-++++++-++++++++-+++++++++++++-+++-++-++++++++++-++++++-++++++--++++-++-+++++++++++++++++-+++++++++++++++-++++++++++++++++++-++++++++++++-+-++++++++++++++++++++++++++++-+++-+++++++++++++++++++-++
41,336,++-+++++-+++++-+++++++++++++-+++++++--++-+++-++++++--+++++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++-+++++++++-++++++++++++++++++++++++++++++++++++++++-+++-+++++++++-++++++-+++++++++++++++-+++++++++++-+++-++++++++++++++-++++++++++++++++++++++++++++++++++++++-++++++++++-+++-++++++++++++++++-+++++++++++-+++++++++-+-+-+++++++++++++++-+++++++-+++++++++++-++++++++++++++++++++
