id,final_position,steps
0,274,++-+++++++++++++++++++-++----+++++++-+++++++-+++-++-+++-++--+++++++++++-+++-+-++++++++++++++++++++++++++++-++++++++-+--++++++-++--++++--+-++-+++-++---+-+++++++++++++++-++-+-++-+++++-++++++--++-+-++-+++-+++--++-+---+++++-++--++++++++++++++++-+++++++--++++-++-++++++--++++-+++--++++--++++++++++++++-+++++++-+-+++-++-+-++-+++++++--+-+++-++--++-++++-++-+--+-++++-+++++----+++++++++++++++++++++++-++-+++++++--++++-++-+++++--+--+++++-+-+++++--++++-+++++++++--+-++-+++-++++++++++++++++---++++++++++++-+-++++
1,236,+++-+++++++++-++++++++-+++++++--+--+++++++++++-+---+++-++++++++++++++++-+-+-++-+-+-+-++-+++-+++++++++++-++++++-+++++----+++-+-++++++++++++++-+++---+-+++-+-++-+++++++---+++--+++++-+++-+++++++++-+-+--+++-++++--+++++++++--++++-++-++-++--+-+--+++-+++++-++++++++++++++++-++++-+--+++-++++----+-+++++--+++-+++++-+++-++++-+++-+++-++-+---+-++-++-+++++--+++-+++++++++-+++-++++++-++-++++-++-+++--+++++++++++++++++--+++-+++++-+++-++++++--+++++++++-+-+-+----++-++-+++++++++--+---+-+-++-++++---++-++---+++++-+-++++
2,300,+++++++++++++-++-+-++++++-++++++++-++++++++++++++++++++++++--+++++++++-+++-+++++++-+++++++++-++-+--++--+++-++++++++++++--+++-+-+++++++++++++++++++-++++++++-++-++++++++-+-++++++-++++++++++++++++++++++-+++++-++++++-+++-+-+++--+++++++++-++-+++--+-+++++-++-+-+++++++++++++-++++++++++++++++++++-++-+---+-+-+-+++-++++-++-+-+++++++-++-++++++++-+++++++++-++++++++--++---+++-+-+-+-++++++++++++--+-++-++++++-+++++-+++++--++---+-++++++++-+-+++-++++-++--+++-+++++-+-+-+--+++++++-++-++-+-++++++++++-++++++++--+-++
3,272,+++-+++++-+-++++++-+-++++++++-+-++++-+++-+--+++++-++++++--+-++-+-+++++++++-++++++++++--+-++-++--+++++++++++++--++-++++++-++++++--++++-++++++-+++-++++++++++--+++++++-+-++--+++++-++++++--+++++-+++++-++-+-+--++++++-++++++++++++++++-++-++++++-++++++-+-+--++++++-+-+++-+-++-++++++++--++++++++++-++-+-++++-++++--++++++++-++++++-++++++---+++-+++-+----+-+-------+-++++-++--++++++++-++++-+++++++-+++++++++++++-+++-++--+++-++++-++++--+++-++-++++++++++++++-+--++++++++-++++++-++++-+++++++++++++-++++++-+++++-+++
4,258,++++-++-+-+-++++++++-++-+++--++++++++-++-+++++++-++--++++-++-++++++-++++-+++-+-++-+-++-++++++++++--+-++-++++++-++-+++-+++++++++++-+++++++--++-++++++++++++++++-+-++++++-+-+++-++-+-++-++-+-++++--+-++++++++++--+++++-+++-++-+++-++++++++++--++++++++-++++-+-+-+++-+++++++-+--+++---++++-+--++-+++++++++++++++--++++-+-+++++---++++++++++-+-++-+-+-+-++++++++++-+-+++-++++-+++++---+-++-+++++--+-+++-++++++++-++-++----++++++-+-++-+++-++-++++-+-++++-+-+++-++-++++++--+++++++-++++-+++++++++-+++-+++++-+++++++-+++-+
5,282,+++++--+++++++++++-+++++++++++++++++++++++-+++-++++--+++-++++-++++-+++++++++++-++++++-+++-++++-++++++++++++--+++++++-+--++++--+++-++--++++++-+--+++++-+--+--+++++++++--+++++++++++++--+++-+-++--++-+---+--++++-++-++-+-+++-+-+-+-+++++++++++++-+-++-++++-++++++++--++++++-++++++++--++++++++++++-++-++++++++++++-+--++++-+-+++++-+++++++++++----+++-++++++-++-++-++-+++++++++++-+++++++-+++++-+-+++-++++++--+++-+++-++++----++++---+++-++++++++++++++++++++++-++++-++++++-++++++++-++-++-++++++-+--+-+++++-++++++-++
6,270,-++--++++++++-+--++++++++-+--+-+--+++++++++-+++++++++++++++++-+++-+-+--+++++-++++++-+++++-++-++++-+-+-+++++-+-++-+++++-+++++--++++++++++++++-++-++++++++++--+-+++-++++++-++++--+--++--+-+++-+++++-++++-++-+-+++++++++++++++-+++++-+++-++++-------+++++-+--++++++++-+++++++-++++++--++++++-+-+++++--+++--++-++++++-+---+++++-++++++++++++++++++++++++++++++++++++++++++++--++-+++--++-+-++-++++++--+-++++-+++++++++-+++++-+++++++++-+++-+++++++++-+-++++-+-+---++-+-+++++-+-+++-++++++++++-+-++++-++++-+++-++++++--+-
7,262,++-++++-+-+--+++++++++-+-+-++-+-++++++++-++++-++++++--++++++--+-+++-++-++++-++++-+--+++-++++++++-+++++++-++++++-++-+++-+++-+++++++++++--+--++-+++-++++++++++++-+++-+++++-+++--+++-++-+++-++---++++--++++++-+-+--++-+++++++-+-+++++++--+--+++++++-++++-++-++++++++++++++++++---+++++++++-+++-+--+--+-+-++-+++--+-++-++++-+++++-++++++++-++-+-+-++-++++++++++++++-++++-++-+++++-+-++++++-+--++++-+++++++-++--+-++++-+++-+++++++++-+--+++-++++++++++++--+---++++++++++++++++++-++--+++-+++++++++++-++-+++++++--+-++++++
8,184,+++-+++---+++--+++++-++++++-+++-++++++-+++-+-++-+++++++++++++-+--+++--+++++--++-++++++--++++++------+-++-+-+++++++++--++-++-+++++-+++--+++----++++-+++++++++-+-+++-+--+-+-++-++-+++++++-+-+-+-+-++-+-++++-+++++---++-+--+++-++-+-+-++++++++++++++-+++---+++++++-+++++++++-+++++-+++-++-++-++-++++++-+-+++-+-+--++++---++--+++++++++++++-+-++-++++-+++-+++---+--++++++--+--++++++++-++-+-+--+++++-++++++-+++++++----+-+++++----+-+++-+-+++-++-++-+-++-+-----+-+++++--+----+-+++++++-++-+++-++-++-++++++--++---+++----
9,286,++++++-++++++-++++-++++-+++-++-++-+++++++-++-++++-+++++++-+++++++-++++--++++-++-+-+-++-+-+++++-+--++++++++++--+-+++++++++-++-++-+++-++++--++++-+-+++++-++++++---++-+-++++-++++++++-+-+++++--+-++++-++++++++-+++++-++++++++++++-++++++++--+-+++++++++++++++--+-+-+++-++-++++-++++++-+++++++++++++-++++++++++-+-++-+++++--++-++-++++--+++++++-++++++++++++-++-++++++-+++++--+-+-+++-++++++-++-+++++--++--+++++++++++++-+++++-++++--++-++--++++-++++++++++-++-----+++++++-++++-++++++++++++++++++++-++++--++-++++-+++++
10,226,+-++++++--+++++---++-++--++++-+++++++++-++++++++++++++++++---++++++++++++++++++-++++++-+++++++++-+----+++-+-+++-++++--++-++++++++-+-++-++-++++++++-+++++-+++---++++++-++++---+-+-++++--+-+++--++-+++++++-+++----+-++++++++++--+++-+-+++-++-++-++--+-+-++------+-++++++--++-+-++--++-+++---++++++++++-+--+-+++-+--++--++++++--++++++-+++++++++-+-+--++-+++---++++++-+--+++++++---+-++++++--++--++++++++++++++++-+--+++++--++++-++--+--+-++-++++++++++-++++-++-++++++++-+-+++++-++++++-+-++-+++-+-++++-+++++++++++++++
11,228,++--++-+++-+++--+-+++-+++-++-+++++-+++++---+++++-+++++++-++++++-++++++++-++++--++--+++++--+++--++++-++++-++++-+-+++++++++-+++++++-++-+++--+-++++++++-+--+++++++-++-+-+++--++++++++++--++--++++++++++-++++++-+--+++-++++-++++++-+-++++++++++++++--++----+++--+++++-++++-+++++++++-+-++---+-+--+++---+--++-++++++++++++++-++++-++-++--+-+-+-+-+++++-+-++-+++++-++-+++++++++--+++++-+--++++++++-++++--++-+++-+------++++--++++-+++++++++++++++-+++-+-+++--++-++++-+-++-++---++++-++-++++++-+-+++++----++++++++++-++-+-+
12,210,+-+++-+-++---+++--++++++++--+++-++--+-+---++--+++++++++-++++-+++++++-+-+-+++----+-++++++--+------+-++++++--+++++++++-++++++-+-+-++++-+-++-+++-+-++++++++++-+++-++++--+-++++--+-++-+++++++-+-+++-++++++----+++++++-+++++++++++++++++++++++--++++-+++-++--++++--++-+++++++++++++-++-+-+++++-+-++--++-++++-+++-+++++++--+-++++--+++++--+++++++++++++-++++--+-++-++-++--++++++++-+++-++-++++++-+++-----+-+-++-+++-++++--+-++-+----+++-++-++++++++++++----++--+++++++++-++-+--++-++++-++++--+++--+--+++++++--++++++-+++-+
13,296,++-++++-+++++++++-+++++++-+++++++++++++++++++-+++++++---+++-++---+++++++++++++++++++++--++++++-++++++++-+++-+-++++---++-+++++++++++++++++-++++++++++--++++-+++-+-++++++++++-+++++++++-+----+++-++-+-++-++-+--+--+--++++--+++--++++++-++-+++++++++-+-+++++--+++-+++-+++--++++-++-+++++--+-+++++++++++-+++-+++++-+-++++++++++-+++++++++-++-++-+++-+-+++++-++++++++-+++++-++++++-+++++++-++++++++++++----++-++++++++--++++++++-++++-++++-+++++++++-++++-++++++++++-++++++++++++-+----+++++++-++++++-+-+++++-++++++++++-
