id,final_position,steps
0,6,+-+--++-+++++++++--+++++++++-------+++++-----++-----++-+---++-+---+--+-+++-++-++++-++++--+--+-+-----
1,10,+---++-++--+---++++++-+-++----+-+--+++-++-+++--++++---++--++----++++-+--++-+-+-+--+++++-++++--+--+-+
2,0,--+-+-+-+--+++--+-+-++-+-+-----++++---+-++-++--+++++-+++--+---++--+-+---++-+--++--++-+++-+++-+-+----
3,8,---+-++-++++-+-+-++--++---++-+-++---+-+-+-+++-+-+--+-+-+-+++++----++++++-++-+-++--+-+----+--+-++++-+
4,24,-+++-+-+-++++--+-++-+-++-+-+++-+++--+-++--++--+++---+--+++-+-+---++-++++++-++-+--+--+++++-+-++++++++
5,16,+-+-+++-+--+-+-++--++--------+-++++--++++++--++--+++--++-++++-+++++++-+++-+-+++-++-+-+---++---+++-+-
6,2,---+-----+++-+-+++-++++++-+++-+---++-+----+---++--++++++--++-+-++-+--++----+-+++-+---+--++++--++--+-
7,-4,+++--+++---++-+------++-++---+---++++-+-+---+-++++--+-+---++-+-++++-++-+-+-----+++--+++----+-+--+-+-
8,10,---+-++-+++++-++-+--+-++--+--++-+++++--+-+-+-+--+++-++++-++--+--+--+--++-------+++++++-++-++++--+--+
9,6,+-+++-+--+++--++--+-+----+++++----+++--+--++-+-+--+--+++--+-+-+++-+---+--++-+++++++++-++-+-+--++----
10,30,+++-+++++-+++++++++++-+-+---++--++--+++-+++++--+--+++-+++-++++++-++--+-+-++---++++-++++--+-+-+---++-
11,0,---++---+++-+++++-+-++--++++-+-++-----++-++++++---+-++-+--++--+--+-+--+-+--+-++++--+---+-+------++-+
12,4,--+-+--++--+-+++-----++++-----+-+++--++-+-+--++-+--+-+-++----++-++++++-++-++++++--++-++---+-+-++-+--
13,4,-+++-++-------++---++-+++---+-+-+++------++---++++-++------+++++-+-----+-+++--+++-+++-+-+++-++++-+++
14,14,--++++-++++---+-++-+-+-++++--+-+++-++-+---+--++--+++++-++----++-+-+-++-+++---+---++-++-+++++--+++-+-
15,26,+++----+-++++++-+++-++--++++---+--+++++--+++--++-++++--++++++++-++++--++++++-++-+--+-+++--+---++--+-
16,8,----++-++--+-+--+---++--++-++--+-+-++++++--++++-+-----+++-+-+++-++++++-++--++++-+--+--+-++-+---++--+
17,12,-++--+----+-++++++++-+-++-+--++-+++-++-+++++------+++++++-++++--+-+--++--+--+---+--++--++-+--+++-++-
18,6,--+-----+-++++-+++++---++-+++----+++-+++-+++-++-----++--++++++-+++-+-+-+--+++++--+---+-----+--++-++-
19,12,+--+-+-++++---++-++----+--+-+-++--+-----++-+++-++++--+++-+++---+++++++-++-+++++--+---+++++--+++-+---
20,6,-++--++--+-+++--+++----+++--+---++++--+----+--+----++-+++-+++-++++++---++++-+++-+------+++++--++-+-+
21,10,-++-+++++---++--+++++-+---++++++++--+-++++++-+--+--+----++-+-+---+--+++--++++--++++-+--+-+--++-+----
22,24,--++-++-++-+-+-+--++--++++-+----++--+++---+++++-++---+++++++--+-+++-+-++++++++++-+++++--+++-++--++--
23,18,+-++--+++---+-+++-+---+--++-+++-++--+---++-++----++++++--+-++++-+++++--+-+++-+++---+++-+++-+++-+--++
24,20,-+-++--+--++-++-++++-++--++++-+--+++-+-++-+++++++-+++++++--++-++--++---++----+-++-++--+-+-++++---++-
25,6,++-++++--+++++-+-++---+--++--++--++-++--+---+--+--++---++-+-+-++-+--++++-+-+++--++++---++-+----++--+
26,-2,---++----++---+---+-++-++-+++++++-+++--+-+--+++-+--+---+++++++----+++--------+++-+-+----++-+-+-+-++-
27,16,-+--++++--++-+++-++++--++---++--+-+--+---+++++-+-+-+-+++-+--+++++--+-++-+++++-+---+--+---+-+++-+++++
28,8,-++-++-++---+---+++-+++-+++--++-+-+++++--+----+-++-+++-+--++++-+--+++-+--+----+-++++++----++-+-+-+--
29,-2,++++-+-++--+-+-+-+-+---+----+++++++++--+---++--+++-++-++-+---+--+-++--+-+----+--+--++-+-+-+-+---++--
30,14,-++---++--+-+--++---+-+-+++++-+-+--+--++-+-+++------++--+++-+++-+-+++-+-++-+-+-+++++++++-++-+---++++
31,10,+----+--+++++--+--++++--++--+---+-+--+-+++-+++--+-+++++++--+--+-++-+--++++-+-+-+---+-++++++++-++----
32,16,-+++++-+++--+-+++-+++-+-+-++-++-+---+-++--+++-++-+--+++--++-++---+-+-+---+++++--+-+++--++-+-+++-+-+-
33,-12,+-+++-+++-+-+--+--+++++---++--+--+-++--+---++++--------+----+-----+----+--+--+--+--++++--++---+++++-
34,16,++++-+-+----+-+++-+++-+-++-+--+-+++-+----++-+---+-+++-+++++-++++---+-++++--+-++++++---+---++-+-+-+++
35,6,------+++++-----+--+-++---++--+++---++++-++++++++--+++----+++++---+-++++++-++-+---++-++-----++++---+
36,-4,-+-+--+-+----++++--++----+-+-++++++------+++++-------++++---+--+++-++-+-+--+-+--+-+--++--+-+++--++-+
37,4,+-++---++-+-----+---+-++--++--+-+-++++--++++-++--+--++-+-+++++++----++--+-+-++-+---+-+--+++++-+--+-+
38,14,--+-------++-++++++-++--++++---++++-+--++++-+-+-++--++++++-++-+-+---++++-++++-+++-++--++-+++-------+
39,22,+-++-+---++++----++-++--+++-++-+--++--+---+-++++++-++++-++-+++++-+++-++++--++-+-+-++++++-+++-+--+---
40,24,-+++++--+-+++--+++-++---+++++--++--+++-++-++-+----++--++-++-+-+--++++++++--++-++++-+++++--+---+++++-
41,24,--+++++-+-+-++++-+--+-+++--+++++-+-++--++-++++-++++++----++++++--++++--+-++-++-+-+-+-++-++--++--++--
42,10,++--+-+++++-+++---++++-+++++++-++-+---+++-+++++-++-+-+--++--++---+--+-----++-++++---+------++-+-+-+-
43,2,-+++--++-+-+-++---+--++++-+-++-----++-+++-+--+++--+---+++--++-+--+-+++---+-+--+++--+---+-+--+-+++++-
44,4,++++-+-+++++---++-+--++++---+++------+--++--+++-+-+-+-+++----+-+-+--++--+----++--++-+++-++-+--++-++-
45,4,--+-+-+-+-+----+-+++-+-+-+-++--++-----++-+-+-++-+++----++++++-++-+-++++----++-+-+--+-++-+++++--+--+-
46,8,+++----+++--+-+++-++--+-+-+-----++--+--++-++-++--+-+----+++-+-+-+-+--+-+++++++--++--+-++++--+++++--+
47,2,+-+-++-++--++++--+++++-+--+--+--++-+--+---+----+-+++--++-++-+-++---+----+-++++--+--++-++-++-+++---+-
48,20,+-+-+---+-+--+++-+-++--+++-+---++++++++-++++++-+-+--++-++-++--++++--+-+-+-+++++--+++-++-+-+-+-++---+
49,18,+-+++++-+++++-+-++----+++---++++-++++++---+-++--+---++-++-+-+---+----++++++-++--++++++-+-++-+++-+---
50,6,++++-+-+----+-+++++-++-+++++-++-+----++-+++++-----+-+--++--+-++----+-+---++-+--+--+-+-+-+++--+-++-++
51,10,+-+--+++-+-++-+++++-++++--++--++-+--+++++--+++-+++-+--+-+++------+----++---+---+-++-+-++-++-+-+-++-+
52,12,---++-----+--+-+++--++-+-+-+-++-++++---+++-+-+-++++++-+++++++-++-----++++--+----+-+-+---+-++++-+++++
53,12,+-++++++-++----++--++--+--+--++-+++--++-+---+++-++-+-----++-+-++-+++-++++++---++-+--++-++----+++++-+
54,8,--+-++--+--+++-+-+---+-+-++++++---+--+-+-++++-+++-+++++-++-++++-++---++++--+--+-+-+----+--++++---+--
55,24,+-++-+---++-+++--+++++--++++++++-+++--+-+-++++-+--++--++----+-+--+++++++++--++-+--++++++--++++-+---+
56,20,-++---+++++++-++--+--++---+-+++-+-+-+++-++++++--++--+---+--+----++-+-+++++++++-+-++-++-++++--+--++++
57,16,+--++++-+++--+-++-++-++++-+-++-++-+-+-+---+---++++++++-+++--+---+-++-----++-+-+++-+----++++-+-+++-++
58,24,---+-+-++++-++++-+++++++-++++++-+++---++-+---+---+++++-++-+-+---++--+-+-++-++-+++++-+++---+++++---++
59,6,-++++---++-+--++++--+-++-+-+-++-++++-+-----++++-+-+--+----+++--+++---++----+-+--+-+-+-+-+++++-++--++
60,10,++---+-+--++++-+----+-+-+-+-++-+-+-+-+---+-++-++++---++-+++---+--++-++++++--++-++-+-+-+++--+++-+--++
61,12,-++++++++--++-+----+-+-+++---++--+++++---+--+--+--+-+++--++--++-+++--+-+--++++++++++----+++-+++--+--
62,34,+++++--++++-++++-+-+++++-+--++-+--+++-++--+++-+-++--+-+-++++++-+++-++---++++-++++--+++--+++++-+-++-+
63,6,++++---+---+-+++-+-++-----+-++-+-+++-+--+-++-+--+---++-+-++++-+---++-++++-++-+----++++-+--+++--+--++
