id,final_position,steps
0,270,++++-++-+++++-++++++++-+++++++++++++-++++--++++++++-++++++++++++++++++++++++++++++++-+++++++++++-+++++++-+-+--++++++++-+-+++++++++++++++--+++++++++++++---+++++--+++++++-+++++++-+-++++-++++++++++++-+++++++-+++-+-++++++++++++++-+--++++++-++++-+-+--++++++++-+++++++-+++-++++++++++++-+++++++++++--++++-+++++++++++++-++++++-+-+--++++-+-+++++++++++++++++++++-+++-+-+++-+++++-+++++++++-++++++++--++--+-++++-
1,282,--+-++++++++++++++++++++++-+++++-+++++++++-+++++++-+++-++++++-++++-+--+++++++++++++++++-+++++-++++++-+++++-++++++++--++-++++++++++++++++++++-++-++++-++++-+-+++++++++-+-+++++-+++++-+++++--++++--+++++++++++++++++++++++-+++++++++++-+++++-++++-+++-+++++-++-+++++++++-++++++--+++-++++-+++++++++++++-+++++++++++++++++++++++-++++-+++-+--++++++++++++++++++++-++++--++++--++++-+++++-++++++++-+++++++++++++-+++
2,262,+++++++-++-+++++++++-++++++++++++-+-+++++++---+++++-++++++-++++-+++++++++++++++-+++++++++++-+++++-+++++++-+-++++++++-+-+++-+++++-+++++++++-+++++++++-+++++++++++-+++++++--++++--++--+++-+-+++++++++++-++++++---++-++++-+++++-+++++++++++++++--+-+++-++-+++--+--+++++++-++++++++++++-++++++++++++++-+-+-++-++++++-++++++++++++++-+++++++++-+--+-++++++-+++++++++--+-+++--+-++++-+++++++++++++-+++++++-+++++++++++
3,288,++++++++++++++++++++++++++-+++++++-++++--+++++-+-+-++++++++++++++++++++-++++++++++++++-+-++-+-+++-+++++++++++--+++++++-+++++-+++++++++++++++++++++----++++++++++--++++++++++++++++-++++++++++--++++-++-+-++++-+---+-++--+++++++++-+++++++++++-+++-+++++++++-+-+-+++++++++++++++++++++++++++++++-++++++++-+++++-++-++++-++++++++++++++++++++-++++++++-+++++++-+++++++++++--+++-++++++++++++-++++++++++++++++++-+-
4,272,+++++++++++++-+++-+++++++++++++-++++++++++++-++++++++++++-++++++++++---++-+-+++++++-+++++++++++++++++-+-++++++++++--+++-+++-+-++++-+++-++++++++++-++++-+++--++++++++++++++-+++-+++++++++--++++++-+++++-++-+++--+-+-++-+-+++++++---++++++++++++++-++-+++-+++++++++--+-+++++++-++++++++++++++++++++++++++--+++-++++++++++++++++++++--++++++++--+-+++++++++++-++++-++++-+++++-++-+-++++-++-+++++++++-++++++++++++++
5,282,+++++-+++++++++++++-+++++-+++++++-+++++-++-+++++++-+--++++++++-+++-+++-++++++--+++++++++-++++-+++++-+++++++++-+--+-++-+++++++++++++++-++++++-+++++-++-++++++++---+++++++++++++++++++++++++++++++++++++++++++-+++++++++-++++++++++++++++++++++-+++-+++++-+++-++-+-++++++++++--+++--++++-++++++-++-++++++-++++++++-+++++++++++-++-++++++-+-++++++++-++++++++++++++-++++++++++++++-+++++++++++-++++++-++-++++++---+
6,274,-+++++--+++-+++++++-++++++++++++++++--+++++-++++++++++++++++++++++++-++++++++++++-++--++++++++++-+++++++++-+++++++++++-++-+----+++-+-+++++-+++++--+++++++++++++-++++++++-++++++++++++---++++++++++++++-+-+-++++++++++++++++++++-++++++++++++++-++++++++++++++++++-++++++++++++++++++++-+++-+---+++++++++++-++++++++++++-+++-++++++++-++--++++++++---+-++++++++-+++++++++-+++--++-+++-+-+++++-++++++-++---+++++++
7,292,++++++-+-+++++++-++++++++--+++++-+++--++++++++++-++++++++-++++++++++++++++-+-++++++++++++++++++++++-+-+++++++++++-++-+++++++--+++++-+++++-+-+++-++++-++-+++++++-+++-+++-++++++++-+-+-++--+++++-+++++--+++++++++-+++++++++++++++++++-+-+++-++++-++-+-+++++-+++++++++++++++++++++++++++++++++++++++++-++++++++++++++++++++--+++++++++++++-++++-+++++-++++++++++-+-++++++++++++++++++-+++++++++++++-++++-++++++++++
8,264,+-+++++++++++++++++---++++-++++++-+++++++++++++++--+++++++--++-++-+++++++++-+++++++-+++-+++++++++--+++---+++++++-+++++++++++-+++++++++-+-+++++++-+-++-++++++++---+++++++++++++-++++++++-+++-+++--+--++++--+++++-+++++++++++++-++-++++-++-++-++++++++++++++++++++-+++-+++++++++-+-+++++++++-+++++++++++++++++++++++-++++--++++++++-++-+-++++++++++-++++-++-+++++++-++++++++++++++++++++-+++-++-+--++++++--+++-+++
9,264,++-++++++++++++-+++++++++++++-++++++-++++++++++++-++++++---+++++++++++++++-+-++++++++++++++--++++-++++-++++++++-+++++-++++++++++-++-+-+-+++++++++++++++++++++++++++-+-++-+++-+++++++++++++++---+++-+++-+++++++++++--+++--++++-+-++--+++++++++-+++++++--+++-+++++++++--++-+++++++-+++---++++-+-++++-+++++++-+++++++++++-+++++++-+-++++---++++++++++++++++-++++++++-++++++++++-+--++++++-+-++++++++++++-++-++++-++
10,282,-+++++++-++++-+++++-++-+++++++++++-+-++++-+++++++++++-++++++++-+-+--++++++++++++---+++++-++++++++++--++++++-++++++-+++-+++++++++++++++-++++-++++++++++++++++++++++++++++++++++-+++++++++--++++++++++++++++++-+++++-+++-++++++++-+++++++++++-+++++++-++++++++++++++--+-+++++-++++++-+-++++++++++++++++++++++++-++++-++-+++-+-+++++++++-+++++-+++-+-+++++++-++-++++-+++++++++-+++---+++-+++++++++-++++-++++-++++++
11,298,-++++++++++++-++++--+++++-++++++++++++++++++++++++++++++++++--++++++++++++++-+++++-++++-+++++++++++++++++++-++++--+++++-++++++++++++++++++++++++++++++++++++++++++-++-++++-+++-+++++++++++++++++++-++++-+++++++-++-+++++++-+--+-++++++++-+++-+++++++++++++++++++++++++++++++++-+++++-++++++++-++++++++-+-++---++++-++++++--++++++++-+++++-+++++++---++++-++--++++-++-+-+++++++++++++++-+++++++++++++++++++++++++
12,234,++++-+++++++-++-++++-+-++-++-++++++-+-++++++++-++--+++-++++++++-++++--++++++-++++++---+++++++++--++-++-++++-+++++++++++++-+++++++-+++++++++-++++--++++-+++-+++++++-++++++++++++--+++++++-++++++-++++++++-++++++-++++++-+++-+-+++++-+++-++-++--+++-++++-++++++++++-+-++++--+--+-++-+++-+++--+++-++++++++++++++++++++-+++--+++++++++++-+--++++++--+++++++-+-++++++++++--++-++++-+++++-+++++++-++++-+-+--+-++-+++++
